study,binge_location,binge_date,subject_id,treatment,sex,early_death,weight_day1,weight_day2,weight_day3,weight_day4,mean_intox,dose_day1,dose_day2,dose_day3,dose_day4,mean_withdrawal,peak_withdrawal,mean_bec,beh_1_1,beh_1_2,beh_1_3,beh_2_1,beh_2_2,beh_2_3,beh_3_1,beh_3_2,beh_3_3,beh_4_1,beh_4_2,beh_4_3,with_10,with_11,with_12,with_13,with_14,with_15,with_16,with_17,with_18,with_19,with_20,with_21,with_22,with_23,with_24,with_25,with_26,
gub2,kentucky ,3/1/13,6,ethanol,male,no,294,276.9,265,252.4,1.75,14,8,9,8,1.8,3.8,360.1333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,7,ethanol,male,no,310.6,304,287.6,278.6,2.083333333,14,6,8,7,1.1,3.8,353.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,8,ethanol,male,no,321.6,299.3,281.6,275.5,2.166666667,15,3,8,8,0.7625,3.6,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,9,ethanol,male,no,327.3,304.3,281.6,271.7,1.916666667,13,7,7,10,2.35,3.8,449.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,10,ethanol,male,no,310.5,303.4,282.9,269.6,1.75,15,10,6,8,0.8375,3.8,425.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,11,ethanol,male,no,327.6,312.3,291.6,289.1,1.5,15,8,7,12,0.2625,1.6,421.3666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,12,ethanol,male,no,332.3,307.2,284.9,282.2,1.916666667,12,7,8,10,1.275,3.6,369.6333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,13,ethanol,male,no,317.5,299.3,279,268.7,1.75,14,8,6,11,0.375,3.4,366.8666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,14,ethanol,male,no,305.4,296.4,291.5,280.1,1.083333333,15,13,11,8,0.625,3,250.1333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,15,ethanol,male,no,303.6,300.9,286.1,284.3,1.166666667,15,10,11,10,0.85,3,325.6333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,16,ethanol,male,no,312.6,293.8,272.8,262.1,2.166666667,13,4,8,9,1.1875,3,353.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,17,ethanol,male,no,299.1,278.4,262.2,255.6,1.166666667,15,9,9,13,1.85,3.6,413.8666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,18,ethanol,male,no,302.2,294.1,278,266.8,1.416666667,15,10,9,9,0.925,3,319.9666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,19,ethanol,male,no,336.4,305.9,286.2,287.7,2,12,5,10,9,0.0625,1,316.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,20,ethanol,male,yes,320.4,301.4,277.7,,,13,8,8,0,,,409.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,21,ethanol,male,yes,316.4,308.7,283,268.3,1.583333333,15,10,9,7,,,306.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,22,ethanol,male,no,299.3,286.6,268.1,251.8,1.916666667,15,6,6,10,0.35,3,461.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,23,control,male,no,309.1,290.4,279.5,274.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,24,control,male,yes,330.2,316.3,298.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,25,control,male,no,339,319.1,302.4,296.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,26,control,male,no,305.2,298.9,284.1,277.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,27,control,male,no,324.7,330.8,307.6,295.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,28,control,male,no,302.1,292.1,280.4,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,29,control,male,no,321.6,308.4,292.9,283.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,30,control,male,no,299.8,291.4,279.2,268.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,31,control,male,no,324.6,321.3,298.7,292.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,32,control,male,yes,311,299,284.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,33,control,male,no,308.1,294.5,283.5,276.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,34,control,male,no,303.9,290.5,269.2,260.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,35,control,male,no,302.6,292.7,279.3,271.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,36,control,male,no,318.4,311.7,294.3,284.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,37,control,male,no,298.5,287.4,272.5,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,38,control,male,no,305.8,293.4,278.3,272.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,39,control,male,no,329.3,310.6,285.1,288.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,40,control,male,no,337.6,328.4,314.9,302.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,41,control,male,no,314.4,306.5,286.9,275.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,42,control,male,no,315.2,309.7,290.4,281.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,43,control,male,no,325.6,309.4,294.6,288.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,44,control,male,no,318,297.2,284.7,275.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,45,control,male,no,324.1,313.2,299.5,289.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,46,control,male,no,302.7,292.1,282.3,272.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,47,control,male,no,321.7,313.8,298.7,291.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,48,control,male,no,337.3,325.8,303.2,293.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,49,control,male,no,324.5,314.8,297.6,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,50,control,male,no,301.6,290,274.9,264.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,51,control,male,yes,312.2,295.3,284.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,52,control,male,no,319.4,299.7,292.1,289.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,53,control,male,no,309.7,292.7,279.3,272.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,54,control,male,no,314.3,306.1,291.4,282.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,55,control,male,no,306.3,296.4,278.7,274.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,56,control,male,no,330.5,317.1,301.9,291.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,57,ubc,male,no,314.1,317.7,323.5,329.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,58,ubc,male,no,311.3,315.6,325.3,328.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,59,ubc,male,no,314.3,320.7,325.4,333.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,60,ubc,male,no,313.3,319.2,326.8,333.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,1,ethanol,male,no,322.9,299.2,281.6,267.5,2.083333333,14,6,5,10,0.466666667,3.8,313.425,0,0,1,3,3,3,4,3,3,3,0,2,0,0,0,0,1.6,0,0,0,0,3.8,0,0,0,0,0,0,3,0
gub3,kentucky ,6/1/13,2,ethanol,male,no,310.3,297.2,290.4,275.8,1.75,14,13,9,3,0.955555556,3.8,321.4666667,0,0,1,1,0,1,1,2,3,4,4,4,0,0,0,2,2.4,0,3.8,3,0,3,0,0,0,0,3,0,0,0
gub3,kentucky ,6/1/13,3,ethanol,male,no,357.6,349.8,333.5,317.4,1.583333333,15,9,9,8,0.166666667,3,347.85,0,0,0,0,2,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,4,ethanol,male,no,307.9,306,302.2,294.4,1.25,15,10,9,11,0.588888889,3.6,250.4333333,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,3.6,2.4,2.4,0,0,0,0,0,2.2,0,0,0
gub3,kentucky ,6/1/13,5,ethanol,male,no,329,317.3,295.8,285.3,1.166666667,15,14,8,9,1.711111111,3.6,310.3666667,0,0,0,1,3,2,2,2,2,3,2,2,0,0,0,0,3.6,0,2,2.4,2.4,2.6,2.4,2.4,2.4,3.4,2.4,2.4,2.4,0
gub3,kentucky ,6/1/13,6,ethanol,male,no,334,318.5,295.2,283.1,1.166666667,15,11,10,10,0.566666667,3,322.425,0,0,0,2,2,1,2,2,2,2,1,1,0,0,0,0,0,0,0,2.4,3,2.4,2.4,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,7,ethanol,male,no,345.6,341.4,331.4,314.4,1.583333333,15,9,8,9,0.788888889,3,287.9,0,0,0,1,0,0,2,2,3,3,2,1,0,0,0,0,0,0,0,3,3,3,0,0,3,0,2.2,0,0,0
gub3,kentucky ,6/1/13,8,ethanol,male,no,347.6,328.7,317,308,1.666666667,15,8,8,9,0.333333333,3,265.2333333,0,0,0,2,1,1,2,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
gub3,kentucky ,6/1/13,9,ethanol,male,no,335,321.6,299.3,289.8,1.666666667,14,11,7,8,0.655555556,3,321.3666667,0,0,0,1,2,3,3,2,2,2,2,2,2.2,0,0,0,0,0,3,0,3,0,0,1.6,2,0,0,0,0,0
gub3,kentucky ,6/1/13,10,ethanol,male,no,319,308.3,293.2,277.7,1.75,14,10,5,10,0.466666667,3,338.2666667,0,0,0,3,1,3,3,1,3,2,2,2,0,0,0,0,0,0,3,2.4,0,0,0,0,0,0,0,0,0,3
gub3,kentucky ,6/1/13,11,ethanol,male,no,330,320,314.1,296.8,2.083333333,15,9,4,7,0.755555556,3,356.5,0,0,1,2,1,1,3,3,2,5,1,1,0,0,0,0,0,0,3,1.6,0,2.4,3,2,0,1.6,0,0,0,0
gub3,kentucky ,6/1/13,12,ethanol,male,no,345,330.8,316.6,303.4,1.416666667,14,10,8,11,0.311111111,3,320.6,0,0,1,2,1,2,2,4,4,4,1,0,0,0,0,0,0,0,0,2.6,0,0,3,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,13,ethanol,male,no,319.8,301.9,302.1,286.7,1.666666667,15,8,7,10,1.222222222,3,482.225,0,0,0,1,3,2,4,4,3,4,1,3,2.2,0,0,0,0,0,0,0,0,2.4,2.4,2.4,2.4,2.4,2.4,2.4,0,3
gub3,kentucky ,6/1/13,14,ethanol,male,no,322.8,298.1,284.9,276.2,1.25,15,15,8,7,1.777777778,3,383.5,0,0,1,2,2,1,3,2,2,2,2,0,0,0,0,0,0,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,3,2.4,2.6,2.4
gub3,kentucky ,6/1/13,15,ethanol,male,no,319,304.9,283.7,270.8,1.583333333,15,6,8,12,0.911111111,3.6,287.75,0,0,0,3,1,3,3,3,2,1,3,1,2.4,2.4,0,0,2.6,0,0,0,0,2.4,3.6,0,0,0,3,0,0,0
gub3,kentucky ,6/1/13,16,ethanol,male,no,353.5,350.9,341.4,321.1,2,15,8,6,7,0.166666667,3,151.3,0,0,0,0,0,0,1,3,3,3,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,17,ethanol,male,no,311.3,294.8,274.8,264.7,2.25,13,6,6,8,0.622222222,3,350.4,0,0,0,3,3,3,3,1,3,2,1,0,0,0,1.6,0,0,2.2,0,0,0,0,3,0,0,0,1.4,0,0,3
gub3,kentucky ,6/1/13,18,ethanol,male,no,328.3,324.5,311.9,287.3,2.083333333,14,8,7,6,1.422222222,3.8,462.95,0,0,0,0,3,4,4,3,2,3,3,2,0,3,0,0,0,3,0,0,3.8,0,0,0,0,3,3,3,3,3.8
gub3,kentucky ,6/1/13,19,ethanol,male,no,357,332.5,310.4,295.8,1.25,15,11,11,8,0.688888889,3,424.2666667,0,0,2,3,3,3,3,3,3,2,3,2,2.2,2.2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,3
gub3,kentucky ,6/1/13,20,ethanol,male,no,332,318.4,298.6,286.4,1.833333333,13,8,9,8,0.344444444,3.8,449.3666667,0,0,1,2,2,3,3,3,2,3,3,3,2.4,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,21,ethanol,male,no,324,318.7,298.7,290.7,1,15,13,10,10,0.566666667,3.6,349.85,0,0,1,0,3,2,2,2,1,2,2,2,0,3.6,2.4,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,1.4
gub3,kentucky ,6/1/13,22,ethanol,male,no,326,302.9,279.7,265,1.833333333,14,11,6,7,1.066666667,3,511.775,0,0,1,3,3,4,3,3,3,2,2,2,0,2.6,0,2.6,2.4,3,3,0,0,1,0,2.6,2,0,0,0,0,0
gub3,kentucky ,6/1/13,23,ethanol,male,no,307.5,290.1,287.1,277.9,2,14,8,6,8,0.711111111,3.8,271.175,0,0,0,1,1,2,2,0,2,3,1,3,0,0,0,0,3,0,0,3,3.8,3,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,24,ethanol,male,no,327,308.9,292.5,282.9,1.666666667,15,9,7,9,0.2,3.6,403.125,0,0,2,1,3,3,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
gub3,kentucky ,6/1/13,25,ethanol,male,no,325,316.1,304.3,293.7,1.416666667,15,10,7,11,0,0,318.425,0,0,0,0,0,2,2,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,26,ethanol,male,no,343,330.5,313.1,303.3,0.416666667,15,15,13,12,0.366666667,3,392.725,0,0,1,1,1,2,2,4,3,4,3,1,2.6,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,27,ethanol,male,no,338,320.6,302,290.3,1.416666667,14,10,10,9,1.855555556,3.8,371.8666667,0,0,1,1,3,3,3,3,3,3,3,1,0,0,0,0,2.2,0,0,3,3.8,3.8,3.8,2.4,2.4,2.4,2.4,2.4,2.4,2.4
gub3,kentucky ,6/1/13,28,ethanol,male,no,333,321.5,301.3,287.8,2.166666667,14,5,6,9,0.844444444,3,428.9,0,0,0,1,2,3,2,3,3,2,2,2,0,0,0,0,0,2.4,2.4,0,2.4,0,3,0,0,0,0,2.4,0,2.6
gub3,kentucky ,6/1/13,29,ethanol,male,no,322.2,297.2,280.6,268.8,2,14,7,6,9,0.288888889,3,434.925,0,0,1,2,3,3,3,3,3,2,1,3,3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,30,ethanol,male,no,336,321.8,314.4,303.6,1.25,14,14,7,10,0.944444444,3,415.95,0,0,1,0,0,1,2,2,4,3,1,1,0,0,0,3,2.6,0,3,3,0,3,2.4,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,31,ethanol,male,no,345,336.1,322,305.6,1.833333333,15,9,9,5,0.911111111,3.8,313.45,0,0,0,1,2,3,1,2,3,4,3,3,0,3,0,1.6,0,0,3.8,3.6,0,3,0,0,0,0,1.4,0,0,0
gub3,kentucky ,6/1/13,32,ethanol,male,no,320,311.1,287.1,275.5,2,15,6,8,7,1.744444444,3.8,455.425,0,0,0,2,3,4,2,1,4,3,1,4,3.8,3.8,2.4,2.2,2.4,0,3,3,0,0,0,3,2.6,3.8,1.4,0,0,0
gub3,kentucky ,6/1/13,33,ethanol,male,no,303,295.3,277.2,267.2,1.833333333,14,9,8,7,0.888888889,3.8,319.9666667,0,0,1,1,3,2,2,2,3,3,3,2,2.2,1.6,0,3,2.4,0,3,0,3.8,0,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,34,ethanol,male,no,340,326.3,322.4,306.3,1.5,15,15,8,4,1.211111111,3.8,205.575,0,0,0,0,0,0,1,2,4,4,4,3,0,2.6,0,2.6,0,0,2.4,3,2.4,2.6,0,0,0,2.4,0,0,0,3.8
gub3,kentucky ,6/1/13,35,ethanol,male,no,325.4,308.6,309,295.4,1.333333333,15,11,10,8,0.366666667,3.6,271,0,0,0,0,2,2,1,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,3,3.6,0,0,0,0,0,0
gub3,kentucky ,6/1/13,36,ethanol,male,no,324.1,308.1,294,277.3,1.5,15,12,6,9,0,0,356.55,0,0,0,1,1,1,2,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,37,ethanol,male,no,313,303.9,282.9,272.3,2,14,7,7,8,0.733333333,3,420.15,0,0,1,3,2,3,3,3,2,3,2,2,0,0,0,0,0,2.2,3,0,3,3,0,0,0,0,2,0,0,0
gub3,kentucky ,6/1/13,38,ethanol,male,no,338,341.1,331.4,311.7,1.166666667,15,15,10,6,0.144444444,2.6,240.4333333,0,0,0,0,0,0,1,2,2,3,3,3,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,39,ethanol,male,yes,310.6,291.6,276.2,,,,,,,,,388.8,0,0,2,2,3,3,3,3,2,2,0,2,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,40,ethanol,male,no,334,329.7,322.4,304.4,0.833333333,15,14,12,9,0.811111111,3.6,341.6,0,0,0,0,0,1,1,0,2,3,0,3,2.6,0,0,0,0,0,0,3.6,0,0,0,0,3,0,2.6,0,1.4,1.4
gub3,kentucky ,6/1/13,41,ethanol,male,no,305,282.7,266.3,254.8,2.083333333,15,4,8,8,0.633333333,3,400.75,0,0,0,3,4,4,3,3,1,3,2,2,2.4,0,0,0,0,0,3,3,0,1.4,0,0,1.6,0,0,0,0,0
gub3,kentucky ,6/1/13,42,ethanol,male,no,322,316.9,299.6,278.6,1.916666667,15,9,5,8,1.088888889,3,433.05,0,0,0,0,3,3,4,4,2,4,1,2,0,0,0,2.2,0,0,3,3,0,3,0,3,3,2.4,0,0,0,0
gub3,kentucky ,6/1/13,43,ethanol,male,no,324,314.3,287.1,280.3,1.8,13,7,7,11,0.4,3,429.525,0,0,2,2,3,3,3,3,2,2,0,2,2.6,0,0,0,0,0,0,0,3,1.6,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,44,control,male,no,316,301,287.7,275.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,45,control,male,no,320,311.4,303.6,288.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,46,control,male,no,339.7,324.4,309.5,298.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,47,control,male,no,324,308.7,295.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,48,control,male,no,348,331.7,321.1,308.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,49,control,male,no,368,347.3,340.6,325.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,50,control,male,no,302,293.9,283.5,270.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,51,control,male,no,329,318.7,307.1,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,52,control,male,no,320,304.8,294.6,286.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,53,control,male,no,318.5,308.1,292.7,282.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,54,control,male,no,323.4,310.5,298.9,286.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,55,control,male,no,317,301.5,288.9,277.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,56,control,male,no,333,314.4,300.9,288.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,57,control,male,no,329,316.3,302.1,288.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,58,control,male,no,316,305.8,296.2,286.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,59,control,male,no,282.8,270.7,256.4,251.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,60,control,male,no,308.1,300.3,286.3,273.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,61,control,male,no,323,309.7,299.3,289.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,62,control,male,no,305,293.9,284.1,272.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,63,control,male,no,316,303.8,290.9,281.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,64,control,male,no,312,295.1,285.5,274.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,65,control,male,no,320.8,306.5,299.5,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,66,control,male,no,316.9,302.1,290.2,281.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,